"LGA Code","LGA Name","Gazetted LGA Name"
"300","ALPINE","ALPINE SHIRE"
"301","ARARAT","ARARAT RURAL CITY"
"302","BALLARAT","BALLARAT CITY"
"303","BANYULE","BANYULE CITY"
"304","BASS COAST","BASS COAST SHIRE"
"305","BAW BAW","BAW BAW SHIRE"
"306","BAYSIDE","BAYSIDE CITY"
"307","BOROONDARA","BOROONDARA CITY"
"308","BRIMBANK","BRIMBANK CITY"
"309","BULOKE","BULOKE SHIRE"
"310","CAMPASPE","CAMPASPE SHIRE"
"311","CARDINIA","CARDINIA SHIRE"
"312","CASEY","CASEY CITY"
"313","CENTRAL GOLDFIELDS","CENTRAL GOLDFIELDS SHIRE"
"314","COLAC OTWAY","COLAC OTWAY SHIRE"
"315","CORANGAMITE","CORANGAMITE SHIRE"
"316","DAREBIN","DAREBIN CITY"
"319","EAST GIPPSLAND","EAST GIPPSLAND SHIRE"
"320","FRANKSTON","FRANKSTON CITY"
"321","GANNAWARRA","GANNAWARRA SHIRE"
"322","GLEN EIRA","GLEN EIRA CITY"
"323","GLENELG","GLENELG SHIRE"
"324","GOLDEN PLAINS","GOLDEN PLAINS SHIRE"
"325","GREATER BENDIGO","GREATER BENDIGO CITY"
"326","GREATER DANDENONG","GREATER DANDENONG CITY"
"327","GREATER GEELONG","GREATER GEELONG CITY"
"328","GREATER SHEPPARTON","GREATER SHEPPARTON CITY"
"329","HEPBURN","HEPBURN SHIRE"
"330","HINDMARSH","HINDMARSH SHIRE"
"331","HOBSONS BAY","HOBSONS BAY CITY"
"332","HORSHAM","HORSHAM RURAL CITY"
"333","HUME","HUME CITY"
"334","INDIGO","INDIGO SHIRE"
"335","KINGSTON","KINGSTON CITY"
"336","KNOX","KNOX CITY"
"337","LATROBE","LATROBE CITY"
"338","LODDON","LODDON SHIRE"
"339","MACEDON RANGES","MACEDON RANGES SHIRE"
"340","MANNINGHAM","MANNINGHAM CITY"
"341","MARIBYRNONG","MARIBYRNONG CITY"
"342","MAROONDAH","MAROONDAH CITY"
"343","MELBOURNE","MELBOURNE CITY"
"344","MELTON","MELTON SHIRE"
"345","MILDURA","MILDURA RURAL CITY"
"346","MITCHELL","MITCHELL SHIRE"
"347","MOIRA","MOIRA SHIRE"
"348","MONASH","MONASH CITY"
"349","MOONEE VALLEY","MOONEE VALLEY CITY"
"350","MOORABOOL","MOORABOOL SHIRE"
"351","MORELAND","MORELAND CITY"
"352","MORNINGTON PENINSULA","MORNINGTON PENINSULA SHIRE"
"353","MOUNT ALEXANDER","MOUNT ALEXANDER SHIRE"
"354","MOYNE","MOYNE SHIRE"
"355","MURRINDINDI","MURRINDINDI SHIRE"
"356","NILLUMBIK","NILLUMBIK SHIRE"
"357","NORTHERN GRAMPIANS","NORTHERN GRAMPIANS SHIRE"
"358","PORT PHILLIP","PORT PHILLIP CITY"
"359","PYRENEES","PYRENEES SHIRE"
"360","QUEENSCLIFFE","QUEENSCLIFFE BOROUGH"
"361","SOUTH GIPPSLAND","SOUTH GIPPSLAND SHIRE"
"362","SOUTHERN GRAMPIANS","SOUTHERN GRAMPIANS SHIRE"
"363","STONNINGTON","STONNINGTON CITY"
"364","STRATHBOGIE","STRATHBOGIE SHIRE"
"365","SURF COAST","SURF COAST SHIRE"
"366","SWAN HILL","SWAN HILL RURAL CITY"
"367","TOWONG","TOWONG SHIRE"
"368","WANGARATTA","WANGARATTA RURAL CITY"
"369","WARRNAMBOOL","WARRNAMBOOL CITY"
"370","WELLINGTON","WELLINGTON SHIRE"
"371","WEST WIMMERA","WEST WIMMERA SHIRE"
"372","WHITEHORSE","WHITEHORSE CITY"
"373","WHITTLESEA","WHITTLESEA CITY"
"374","WODONGA","WODONGA CITY"
"375","WYNDHAM","WYNDHAM CITY"
"376","YARRA","YARRA CITY"
"377","YARRA RANGES","YARRA RANGES SHIRE"
"378","YARRIAMBIACK","YARRIAMBIACK SHIRE"
"379","FRENCH ISLAND (UNINC)","FRENCH ISLAND (UNINCORPORATED)"
"381","BENALLA","BENALLA RURAL CITY"
"382","MANSFIELD","MANSFIELD SHIRE"
"383","MOUNT BAW BAW ALPINE RESORT (UNINC)","MOUNT BAW BAW ALPINE RESORT (UNINCORPORATED)"
"384","MOUNT BULLER ALPINE RESORT (UNINC)","MOUNT BULLER ALPINE RESORT (UNINCORPORATED)"
"385","LAKE MOUNTAIN ALPINE RESORT (UNINC)","LAKE MOUNTAIN ALPINE RESORT (UNINCORPORATED)"
"386","FALLS CREEK ALPINE RESORT (UNINC)","FALLS CREEK ALPINE RESORT (UNINCORPORATED)"
"387","MOUNT STIRLING ALPINE RESORT (UNINC)","MOUNT STIRLING ALPINE RESORT (UNINCORPORATED)"
"388","MOUNT HOTHAM ALPINE RESORT (UNINC)","MOUNT HOTHAM ALPINE RESORT (UNINCORPORATED)"
"389","GABO ISLAND (UNINC)","GABO ISLAND (UNINCORPORATED)"
