ROAD_SUFFIX,LONGNAME,UFI,UFI_CREATED
N,North,10012581,2008/02/28
S,South,10012582,2008/02/28
E,East,10012583,2008/02/28
W,West,10012584,2008/02/28
LR,Lower,10012585,2008/02/28
UP,Upper,10012586,2008/02/28
NE,North East,10012587,2008/02/28
NW,North West,10012588,2008/02/28
SE,South East,10012589,2008/02/28
SW,South West,10012590,2008/02/28
CN,Central,10012591,2008/02/28
EX,Extension,10012592,2008/02/28
ML,Mall,10012593,2008/02/28
OT,Outer,10012594,2008/02/28
IN,Inner,10012595,2008/02/28
OF,Off,10012596,2008/02/28
ON,On,10012597,2008/02/28
A,A,10012598,2008/02/28
B,B,10012599,2008/02/28
C,C,10012600,2008/02/28
DV,Deviation,10014961,2008/05/27
BR,Branch,10015101,2008/07/18
