ROAD_TYPE,ROAD_TYPE_ABBREVIATION,GNR_APPROVED,UFI,UFI_CREATED
DRIVEWAY,DRWY,N,10212484,2014/11/18
ALLEY,ALLY,Y,10151321,2012/10/03
ARCADE,ARC,Y,10151360,2012/10/03
AVENUE,AV,Y,10151334,2012/10/03
BAY,BAY,N,10151378,2012/10/04
BEND,BEND,N,10151379,2012/10/04
BOULEVARD,BVD,Y,10151335,2012/10/03
BOWL,BOWL,N,10151380,2012/10/04
BRAE,BRAE,N,10151381,2012/10/04
BREAK,BRK,Y,10151336,2012/10/03
BYPASS,BYPA,Y,10151337,2012/10/03
CHASE,CH,Y,10151322,2012/10/03
CIRCLE,CIR,N,10151382,2012/10/04
CIRCUIT,CCT,Y,10151338,2012/10/03
CLOSE,CL,Y,10151315,2012/10/03
CONCOURSE,CON,Y,10151339,2012/10/03
COURSE,CRSE,N,10151383,2012/10/04
COURT,CT,Y,10151316,2012/10/03
COVE,COVE,N,10151384,2012/10/04
CRESCENT,CR,Y,10151340,2012/10/03
CREST,CRST,Y,10151323,2012/10/03
CROSS,CRSS,N,10151385,2012/10/04
DALE,DALE,N,10151386,2012/10/04
DELL,DELL,N,10151387,2012/10/04
DIVIDE,DIV,N,10151388,2012/10/04
DRIVE,DR,Y,10151341,2012/10/03
EDGE,EDGE,N,10151389,2012/10/04
ESPLANADE,ESP,Y,10151343,2012/10/03
FIRELINE,FLNE,N,10151390,2012/10/04
DASH,DASH,N,10151391,2012/10/04
FORD,FORD,N,10151392,2012/10/04
FREEWAY,FWY,Y,10151345,2012/10/03
GARDENS,GDNS,N,10151393,2012/10/04
GATE,GTE,N,10151394,2012/10/04
GATEWAY,GTWY,N,10151395,2012/10/04
GLADE,GLDE,Y,10151324,2012/10/03
GLEN,GLEN,N,10151396,2012/10/04
GRANGE,GRA,Y,10151346,2012/10/03
GREEN,GRN,N,10151397,2012/10/04
GROVE,GR,Y,10151325,2012/10/03
HEATH,HTH,N,10151398,2012/10/04
HEIGHTS,HTS,N,10151399,2012/10/04
HIGHWAY,HWY,Y,10151347,2012/10/03
HILL,HILL,N,10151400,2012/10/04
HUB,HUB,N,10151401,2012/10/04
JUNCTION,JNC,N,10151402,2012/10/04
LANE,LANE,Y,10151326,2012/10/03
LINK,LINK,N,10151403,2012/10/04
MALL,MALL,Y,10151362,2012/10/03
MEWS,MEWS,Y,10151368,2012/10/03
NOOK,NOOK,N,10151404,2012/10/04
OUTLOOK,OTLK,N,10151405,2012/10/04
PARADE,PDE,Y,10151375,2012/10/04
PARKWAY,PWY,Y,10151374,2012/10/04
PASS,PASS,N,10151406,2012/10/04
PATH,PATH,Y,10151363,2012/10/03
PLACE,PL,Y,10151318,2012/10/03
PLAZA,PLZA,Y,10151319,2012/10/03
POCKET,PKT,N,10151407,2012/10/04
POINT,PNT,N,10151408,2012/10/04
PURSUIT,PRST,N,10151410,2012/10/04
QUADRANT,QDRT,N,10151411,2012/10/04
QUAY,QY,N,10151412,2012/10/04
REACH,RCH,N,10151413,2012/10/04
RETREAT,RTT,Y,10151320,2012/10/03
RETURN,RTN,N,10151414,2012/10/04
RIDE,RIDE,N,10151415,2012/10/04
RIDGE,RDGE,Y,10151353,2012/10/03
RISE,RISE,Y,10151327,2012/10/03
RISING,RSNG,N,10151416,2012/10/04
ROUND,RND,N,10151417,2012/10/04
ROW,ROW,N,10151418,2012/10/04
RUN,RUN,N,10151419,2012/10/04
SLOPE,SLPE,N,10151420,2012/10/04
SQUARE,SQ,Y,10151328,2012/10/03
STREET,ST,Y,10151354,2012/10/03
STRIP,STRP,N,10151421,2012/10/04
THROUGHWAY,THRU,N,10151422,2012/10/04
TRACK,TRK,Y,10151356,2012/10/03
TRAIL,TRL,Y,10151357,2012/10/03
TURN,TURN,N,10151423,2012/10/04
VALLEY,VLLY,N,10151424,2012/10/04
VIEW,VIEW,Y,10151330,2012/10/03
VIEWS,VEWS,N,10151425,2012/10/04
VISTA,VSTA,Y,10151331,2012/10/03
WALK,WALK,Y,10151371,2012/10/03
WATERS,WTRS,N,10151426,2012/10/04
WAY,WAY,Y,10151359,2012/10/03
WOODS,WDS,N,10151427,2012/10/04
ACCESS,ACCS,N,10151428,2012/10/04
AMBLE,AMBL,N,10151429,2012/10/04
COMMON,CMMN,N,10151430,2012/10/04
CONNECTION,CNTN,N,10151431,2012/10/04
CUTTING,CUTT,N,10151432,2012/10/04
GULLY,GLY,N,10151433,2012/10/04
HOLLOW,HLLW,N,10151434,2012/10/04
ISLAND,ISLD,N,10151435,2012/10/04
REST,REST,N,10151436,2012/10/04
APPROACH,APP,Y,10151333,2012/10/03
BOARDWALK,BWLK,Y,10151361,2012/10/03
CENTRE,CTR,N,10151439,2012/10/04
CENTREWAY,CNWY,N,10151440,2012/10/04
CIRCUS,CRCS,N,10151441,2012/10/04
CLUSTER,CLR,N,10151442,2012/10/04
CORNER,CNR,N,10151443,2012/10/04
CROSSING,CRSG,N,10151444,2012/10/04
DEVIATION,DEVN,N,10151445,2012/10/04
CRUISEWAY,CUWY,N,10151446,2012/10/04
DIP,DIP,N,10151447,2012/10/04
ELBOW,ELB,N,10151448,2012/10/04
END,END,N,10151449,2012/10/04
ENTRANCE,ENT,Y,10151342,2012/10/03
EXTENSION,EXTN,N,10151450,2012/10/04
FAIRWAY,FAWY,N,10151451,2012/10/04
KEY,KEY,N,10151452,2012/10/04
LANDING,LDG,N,10151453,2012/10/04
LANEWAY,LNWY,N,10151454,2012/10/04
LINE,LINE,N,10151455,2012/10/04
LOOP,LOOP,Y,10151369,2012/10/03
PATHWAY,PWAY,N,10151456,2012/10/04
PASSAGE,PSGE,Y,10151364,2012/10/03
PARK,PARK,N,10151457,2012/10/04
QUAYS,QYS,Y,10151351,2012/10/03
RAMP,RAMP,Y,10151352,2012/10/03
RESERVE,RES,N,10151458,2012/10/04
ROUTE,RTE,N,10151459,2012/10/04
ROAD,RD,Y,10151370,2012/10/03
SUBWAY,SBWY,Y,10151366,2012/10/03
STEPS,STPS,Y,10151365,2012/10/03
WYND,WYND,N,10151460,2012/10/04
SPUR,SPUR,N,10151461,2012/10/04
WHARF,WHRF,Y,10151332,2012/10/03
WALKWAY,WKWY,N,10151463,2012/10/04
VALE,VALE,N,10151464,2012/10/04
TUNNEL,TUNL,N,10151465,2012/10/04
TOP,TOP,N,10151466,2012/10/04
DOMAIN,DOM,N,10151467,2012/10/04
DENE,DENE,N,10151468,2012/10/04
BOULEVARDE,BVDE,N,10151469,2012/10/04
KEYS,KEYS,N,10151470,2012/10/04
OUTLET,OTLT,N,10151471,2012/10/04
FORK,FORK,N,10151472,2012/10/04
MANOR,MAN,N,10151473,2012/10/04
FIRETRAIL,FTRL,Y,10151344,2012/10/03
FIREBREAK,FBRK,N,10151475,2012/10/04
FLATS,FLTS,N,10151476,2012/10/04
TWIST,TWST,N,10151477,2012/10/04
TRAVERSE,TVRS,N,10151478,2012/10/04
MAZE,MAZE,N,10151480,2012/10/04
PROMENADE,PROM,Y,10151377,2012/10/04
CAUSEWAY,CSWY,N,10219787,2020/09/29
TERRACE,TCE,N,10219788,2020/09/29
