PLAN_NUMBER_ID,PLAN_TYPE_PREFIX,PLAN_TYPE,PLAN_TYPE_STATUS,APP_PLAN_DESCRIPTION,APP_MULTI_LOT_FOOTPRINT,PLAN_INTEGER_MIN,PLAN_INTEGER_MAX,PLAN_INTEGER_CURRENT_MAX,UFI,UFI_CREATED
   1,LP,Plan of Subdivision,Completed,YES,NO ,      1,  99999,  99999,       10012529,2008/02/28
   2,LP,Plan of Subdivision,Completed,YES,NO , 110000, 149999, 149999,       10012530,2008/02/28
   3,LP,Plan of Subdivision,Completed,YES,NO , 200000, 222655, 200000,       10012531,2008/02/28
   4,RP,Strata Plan,Completed,YES,YES,      1,  19926,  19926,       10012532,2008/02/28
   5,SP,Strata Plan,Completed,YES,YES,  19927,  37825,  37835,       10012533,2008/02/28
   6,CP,Consolidation Plan,Completed,YES,NO , 100000, 109999, 109999,       10012534,2008/02/28
   7,CP,Consolidation Plan,Completed,YES,NO , 150000, 174935, 174935,       10012535,2008/02/28
   8,CS,Cluster Plan,Completed,YES,NO ,      1,   1785,   1785,       10012536,2008/02/28
   9,TP,Title Plan,On Going ,YES,NO ,      1, 999999,  20367,       10012537,2008/02/28
  10,TP,Title Plan,On Going ,YES,NO , 800000, 800034, 800034,       10012538,2008/02/28
  11,PS,Plan of Subdivision (Subdivision Act),On Going ,YES,YES, 300001, 350000, 350000,       10012539,2008/02/28
  12,PS,Plan of Subdivision (Subdivision Act),On Going ,YES,YES, 400001, 450000, 443716,       10012540,2008/02/28
  13,PC,Plan of Consolidation (Subdivision Act),On Going ,YES,YES, 350001, 400000, 364492,       10012541,2008/02/28
